code,name
1776.T,Sumiken Mitsui Road Co.,Ltd.
1780.T,Yamaura Corporation
1783.T,Fantasista Co., Ltd.
1786.T,Oriental Shiraishi Corporation
1787.T,Nakabohtec Corrosion Protecting Co.,Ltd.
1788.T,Santo Co.,Ltd.
1793.T,Ohmoto Gumi Co., Ltd.
1795.T,Masaru Corporation
1798.T,Moriya Corporation
1799.T,Daiichi Kensetsu Corporation
1801.T,Taisei Corporation
1802.T,Obayashi Corporation
1803.T,Shimizu Corporation
1807.T,Watanabe Sato Co., Ltd.
1808.T,HASEKO Corporation
1810.T,Matsui Construction Co., Ltd.
1811.T,The Zenitaka Corporation
1812.T,Kajima Corporation
1813.T,Fudo Tetra Corporation
1814.T,Daisue Construction Co., Ltd.
1815.T,Tekken Corporation
1820.T,Nishimatsu Construction Co., Ltd.
1821.T,Sumitomo Mitsui Construction Co.,Ltd.
1822.T,Daiho Corporation
1826.T,Sata Construction Co., Ltd.
1827.T,Nakano Corporation
1828.T,Tanabe Engineering Corporation
1833.T,Okumura Corporation
1835.T,Totetsu Kogyo Co., Ltd.
1840.T,Tsuchiya Holdings Co., Ltd.
1841.T,Sanyu Construction Co.,Ltd.
1844.T,Ohmori Co.,Ltd.
1847.T,Ichiken Co., Ltd.
1848.T,Fuji P.S Corporation
1850.T,Nankai Tatsumura Construction Co., Ltd.
1852.T,Asanuma Corporation
1853.T,Mori-Gumi Co., Ltd.
1860.T,Toda Corporation
1861.T,Kumagai Gumi Co.,Ltd.
1866.T,Kitano Construction Corp.
1867.T,UEKI Corporation
1870.T,Yahagi Construction Co.,Ltd.
1871.T,PS Construction Co., Ltd.
1873.T,Nihon House Holdings Co., Ltd.
1878.T,Daito Trust Construction Co.,Ltd.
1879.T,Shinnihon Corporation
1882.T,Toa Road Corporation
1884.T,THE NIPPON ROAD Co., Ltd.
1885.T,TOA Corporation
1887.T,JDC Corporation
1888.T,Wakachiku Construction Co., Ltd.
1890.T,Toyo Construction Co., Ltd.
1893.T,Penta-Ocean Construction Co., Ltd.
1897.T,The Kaneshita Construction Co.,Ltd.
1898.T,Seikitokyu Kogyo Co., Ltd.
1899.T,Fukuda Corporation
1904.T,Taisei Oncho Co., Ltd.
1905.T,Tenox Corporation
1909.T,Nippon Dry-Chemical Co., Ltd.
1911.T,Sumitomo Forestry Co., Ltd.
1914.T,Japan Foundation Engineering Co., Ltd.
1921.T,Tomoe Corporation
1925.T,Daiwa House Industry Co., Ltd.
1926.T,Raito Kogyo Co., Ltd.
1928.T,Sekisui House, Ltd.
1929.T,Nittoc Construction Co., Ltd.
1930.T,Hokuriku Electrical Construction Co.,Ltd.
1934.T,Yurtec Corporation
1938.T,Nippon Rietec Co.,Ltd.
1939.T,Yondenko Corporation
1941.T,Chudenko Corporation
1942.T,Kandenko Co.,Ltd.
1944.T,Kinden Corporation
1945.T,Tokyo Energy & Systems Inc.
1946.T,Toenec Corporation
1948.T,The Kodensha Co., Ltd.
1949.T,Sumitomo Densetsu Co.,Ltd.
